connection_name,field_type,project,model,explore,view,view_label,name,hidden,label,label_short,description,sql,ftype,value_format,source
nfl,measures,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.avg_40,False,Combinetest Avg 40,Avg 40,None,"NULLIF(${TABLE}.fortyyd,0) ",average,0.00,combinetest.view.lkml
nfl,measures,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.count,False,Combinetest Count,Count,None,None,count,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.arms,False,Combinetest Arms,Arms,None,${TABLE}.arms ,number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.bench,False,Combinetest Bench,Bench,None,"NULLIF(${TABLE}.bench,0) ",number,0.00,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.broad,False,Combinetest Broad,Broad,None,"NULLIF(${TABLE}.broad,0) ",number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.college,False,Combinetest College,College,None,${TABLE}.college ,string,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.firstname,False,Combinetest Firstname,Firstname,None,${TABLE}.firstname ,string,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.fortyyd,False,Combinetest Fortyyd,Fortyyd,None,"NULLIF(${TABLE}.fortyyd,0) ",number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.hands,False,Combinetest Hands,Hands,None,${TABLE}.hands ,number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.heightfeet,False,Combinetest Heightfeet,Heightfeet,None,${TABLE}.heightfeet ,number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.heightinches,False,Combinetest Heightinches,Heightinches,None,${TABLE}.heightinches ,number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.heightinchestotal,False,Combinetest Heightinchestotal,Heightinchestotal,None,${TABLE}.heightinchestotal ,number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.lastname,False,Combinetest Lastname,Lastname,None,${TABLE}.lastname ,string,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.name,False,Combinetest Name,Name,None,${TABLE}.name ,string,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.nflgrade,False,Combinetest Nflgrade,Nflgrade,None,${TABLE}.nflgrade ,number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.pick,False,Combinetest Pick,Pick,None,${TABLE}.pick ,string,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.pickround,False,Combinetest Pickround,Pickround,None,${TABLE}.pickround ,number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.picktotal,False,Combinetest Picktotal,Picktotal,None,${TABLE}.picktotal ,number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.position,False,Combinetest Position,Position,None,${TABLE}.position ,string,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.round,False,Combinetest Round,Round,None,${TABLE}.round ,number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.tenyd,False,Combinetest Tenyd,Tenyd,None,"NULLIF(${TABLE}.tenyd,0) ",number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.threecone,False,Combinetest Threecone,Threecone,None,"NULLIF(${TABLE}.threecone,0) ",number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.twentyss,False,Combinetest Twentyss,Twentyss,None,"NULLIF(${TABLE}.twentyss,0) ",number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.twentyyd,False,Combinetest Twentyyd,Twentyyd,None,"NULLIF(${TABLE}.twentyyd,0) ",number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.vertical,False,Combinetest Vertical,Vertical,None,"NULLIF(${TABLE}.vertical,0) ",number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.weight,False,Combinetest Weight,Weight,None,${TABLE}.weight ,number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.wonderlic,False,Combinetest Wonderlic,Wonderlic,None,${TABLE}.wonderlic ,number,None,combinetest.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,combinetest,combinetest,Combinetest,combinetest.year,False,Combinetest Year,Year,None,${TABLE}.year ,number,None,combinetest.view.lkml
nfl,measures,nfl_combine,nfl_combine,pbp2016,pbp2016,Pbp2016,pbp2016.count,False,Pbp2016 Count,Count,None,None,count,None,pbp2016.view.lkml
nfl,dimensions,nfl_combine,nfl_combine,pbp2016,pbp2016,Pbp2016,pbp2016.challenger,False,Pbp2016 Challenger,Challenger,None,${TABLE}.Challenger ,string,None,pbp2016.view.lkml
